,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,highVarProb,long_exposure,long_value,longs_count,lowVarProb,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2009-01-16 21:00:00+00:00,82.33,0.0,0.0,0.0,-0.03538371411833585,0.4836490727031897,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.06730230439361215,0.0,0.0,0,0.9326976956063879,0.0,0.0,0.0,[],2009-01-16 21:00:00+00:00,2009-01,2009-01-16 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,11,[],0.0
2009-01-20 21:00:00+00:00,78.2,0.0,0.0,0.0,-0.0837727006444049,0.5095578528286945,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0638667100986447,0.0,0.0,0,0.9361332899013554,0.0,0.0,0.0,[],2009-01-20 21:00:00+00:00,2009-01,2009-01-20 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,12,[],0.0
2009-01-21 21:00:00+00:00,82.83,0.0,0.0,0.0,-0.02952548330404181,0.5678612671532864,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2734393377848724,0.0,0.0,0,0.7265606622151277,0.0,0.0,0.0,[],2009-01-21 21:00:00+00:00,2009-01,2009-01-21 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,13,[],0.0
2009-01-22 21:00:00+00:00,88.36,0.0,0.0,0.0,0.03526654950205077,0.6181294474811234,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.7660648345309464,0.0,0.0,0,0.2339351654690536,0.0,0.0,0.0,[],2009-01-22 21:00:00+00:00,2009-01,2009-01-22 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,14,[],0.0
2009-01-23 21:00:00+00:00,88.36,0.0,0.0,0.0,0.03526654950205077,0.5957861666605732,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.4252233270612555,0.0,0.0,0,0.5747766729387445,0.0,0.0,0.0,[],2009-01-23 21:00:00+00:00,2009-01,2009-01-23 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,15,[],0.0
2009-01-26 21:00:00+00:00,89.64,0.0,0.0,0.0,0.05026362038664356,0.5773992419501794,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.25741303187286524,0.0,0.0,0,0.7425869681271348,0.0,0.0,0.0,[],2009-01-26 21:00:00+00:00,2009-01,2009-01-26 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,16,[],0.0
2009-01-27 21:00:00+00:00,90.73,0.0,0.0,0.0,0.06303456356180459,0.5600170193107222,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.16120029495772462,0.0,0.0,0,0.8387997050422754,0.0,0.0,0.0,[],2009-01-27 21:00:00+00:00,2009-01,2009-01-27 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,17,[],0.0
2009-01-28 21:00:00+00:00,94.2,0.0,0.0,0.0,0.10369068541300552,0.5580490943208718,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.09823177220089294,0.0,0.0,0,0.901768227799107,0.0,0.0,0.0,[],2009-01-28 21:00:00+00:00,2009-01,2009-01-28 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,18,[],0.0
2009-01-29 21:00:00+00:00,93.0,0.0,0.0,0.0,0.08963093145869983,0.5466354722547944,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.07391582017073908,0.0,0.0,0,0.9260841798292611,0.0,0.0,0.0,[],2009-01-29 21:00:00+00:00,2009-01,2009-01-29 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,19,[],0.0
2009-01-30 21:00:00+00:00,90.13,0.0,0.0,0.0,0.05600468658465174,0.5471377411019508,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.07848490072301531,0.0,0.0,0,0.9215150992769847,0.0,0.0,0.0,[],2009-01-30 21:00:00+00:00,2009-01,2009-01-30 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,20,[],0.0
2009-02-02 21:00:00+00:00,91.51,0.0,0.0,0.0,0.07217340363210356,0.5349089765964723,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.07315828301660711,0.0,0.0,0,0.9268417169833929,0.0,0.0,0.0,[],2009-02-02 21:00:00+00:00,2009-02,2009-02-02 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,21,[],0.0
2009-02-03 21:00:00+00:00,92.98,0.0,0.0,0.0,0.08939660222612811,0.5236500803138604,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.07314572389619786,0.0,0.0,0,0.9268542761038021,0.0,0.0,0.0,[],2009-02-03 21:00:00+00:00,2009-02,2009-02-03 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,22,[],0.0
2009-02-04 21:00:00+00:00,93.55,0.0,0.0,0.0,0.09607498535442338,0.5116421745861166,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.028109043410975924,0.0,0.0,0,0.9718909565890239,0.0,0.0,0.0,[],2009-02-04 21:00:00+00:00,2009-02,2009-02-04 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,23,[],0.0
2009-02-05 21:00:00+00:00,96.46000000000001,0.0,0.0,0.0,0.1301698886936149,0.5077762561475977,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.03218413340670871,0.0,0.0,0,0.9678158665932913,0.0,0.0,0.0,[],2009-02-05 21:00:00+00:00,2009-02,2009-02-05 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,24,[],0.0
2009-02-06 21:00:00+00:00,99.72,0.0,0.0,0.0,0.16836555360281236,0.5050842832859316,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.03635264199492506,0.0,0.0,0,0.9636473580050748,0.0,0.0,0.0,[],2009-02-06 21:00:00+00:00,2009-02,2009-02-06 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,25,[],0.0
2009-02-09 21:00:00+00:00,102.51,0.0,0.0,0.0,0.20105448154657335,0.4992839306132259,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.034797478447647225,0.0,0.0,0,0.9652025215523526,0.0,0.0,0.0,[],2009-02-09 21:00:00+00:00,2009-02,2009-02-09 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,26,[],0.0
2009-02-10 21:00:00+00:00,97.83,0.0,0.0,0.0,0.14622144112478064,0.5158557681799755,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.05268492538047509,0.0,0.0,0,0.947315074619525,0.0,0.0,0.0,[],2009-02-10 21:00:00+00:00,2009-02,2009-02-10 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,27,[],0.0
2009-02-11 21:00:00+00:00,96.82000000000001,0.0,0.0,0.0,0.13438781487990648,0.5084536752193312,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.036185495377046545,0.0,0.0,0,0.9638145046229535,0.0,0.0,0.0,[],2009-02-11 21:00:00+00:00,2009-02,2009-02-11 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,28,[],0.0
2009-02-12 21:00:00+00:00,99.27,0.0,0.0,0.0,0.1630931458699476,0.5028653875978707,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.034776951258088586,0.0,0.0,0,0.9652230487419114,0.0,0.0,0.0,[],2009-02-12 21:00:00+00:00,2009-02,2009-02-12 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,29,[],0.0
2009-02-13 21:00:00+00:00,99.16,0.0,0.0,0.0,0.16180433509080294,0.49451341199834686,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.023550085804847937,0.0,0.0,0,0.9764499141951521,0.0,0.0,0.0,[],2009-02-13 21:00:00+00:00,2009-02,2009-02-13 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,30,[],0.0
2009-02-17 21:00:00+00:00,94.53,0.0,0.0,0.0,0.10755711775043975,0.5084441606224097,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.03845854873843138,0.0,0.0,0,0.9615414512615685,0.0,0.0,0.0,[],2009-02-17 21:00:00+00:00,2009-02,2009-02-17 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,31,[],0.0
2009-02-18 21:00:00+00:00,94.37,0.0,0.0,0.0,0.10568248388986556,0.5004130757179044,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.025060990942089013,0.0,0.0,0,0.9749390090579111,0.0,0.0,0.0,[],2009-02-18 21:00:00+00:00,2009-02,2009-02-18 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,32,[],0.0
2009-02-19 21:00:00+00:00,90.64,0.0,0.0,0.0,0.06198008201523164,0.5067585337192735,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.03086544255317602,0.0,0.0,0,0.9691345574468241,0.0,0.0,0.0,[],2009-02-19 21:00:00+00:00,2009-02,2009-02-19 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,33,[],0.0
2009-02-20 21:00:00+00:00,91.2,0.0,0.0,0.0,0.06854130052724106,0.4991321732260949,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9683325370229491,0.0,0.0,0,0.031667462977051,0.0,0.0,0.0,[],2009-02-20 21:00:00+00:00,2009-02,2009-02-20 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,34,[],0.0
2009-02-23 21:00:00+00:00,86.95,0.0,0.0,0.0,0.018746338605741375,0.509031463709528,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9479323639412846,0.0,0.0,0,0.05206763605871545,0.0,0.0,0.0,[],2009-02-23 21:00:00+00:00,2009-02,2009-02-23 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,35,[],0.0
2009-02-24 21:00:00+00:00,90.25,0.0,0.0,0.0,0.05741066198008227,0.5111304776398219,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9383837001268894,0.0,0.0,0,0.06161629987311064,0.0,0.0,0.0,[],2009-02-24 21:00:00+00:00,2009-02,2009-02-24 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,36,[],0.0
2009-02-25 21:00:00+00:00,91.16,0.0,0.0,0.0,0.0680726420620974,0.5044169859439552,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9528339802881078,0.0,0.0,0,0.04716601971189209,0.0,0.0,0.0,[],2009-02-25 21:00:00+00:00,2009-02,2009-02-25 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,37,[],0.0
2009-02-26 21:00:00+00:00,89.19,0.0,0.0,0.0,0.04499121265377881,0.5013397974999124,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9621029355043331,0.0,0.0,0,0.03789706449566694,0.0,0.0,0.0,[],2009-02-26 21:00:00+00:00,2009-02,2009-02-26 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,38,[],0.0
2009-02-27 21:00:00+00:00,89.31,0.0,0.0,0.0,0.04639718804920934,0.4946998142948603,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9741181460351573,0.0,0.0,0,0.025881853964842688,0.0,0.0,0.0,[],2009-02-27 21:00:00+00:00,2009-02,2009-02-27 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,39,[],0.0
2009-03-02 21:00:00+00:00,87.94,0.0,0.0,0.0,0.030345635618043376,0.49017129537725507,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9743919885602313,0.0,0.0,0,0.025608011439768694,0.0,0.0,0.0,[],2009-03-02 21:00:00+00:00,2009-03,2009-03-02 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,40,[],0.0
2009-03-03 21:00:00+00:00,88.37,0.0,0.0,0.0,0.035383714118336185,0.48409136113686013,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9806553110577548,0.0,0.0,0,0.019344688942245083,0.0,0.0,0.0,[],2009-03-03 21:00:00+00:00,2009-03,2009-03-03 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,41,[],0.0
2009-03-04 21:00:00+00:00,91.17,0.0,0.0,0.0,0.06818980667838304,0.48390956582773914,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9770560579880448,0.0,0.0,0,0.02294394201195526,0.0,0.0,0.0,[],2009-03-04 21:00:00+00:00,2009-03,2009-03-04 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,42,[],0.0
2009-03-05 21:00:00+00:00,88.84,0.0,0.0,0.0,0.04089045108377265,0.4827531798666428,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9739972041319627,0.0,0.0,0,0.02600279586803726,0.0,0.0,0.0,[],2009-03-05 21:00:00+00:00,2009-03,2009-03-05 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,43,[],0.0
2009-03-06 21:00:00+00:00,85.3,0.0,0.0,0.0,-0.0005858230814296261,0.48720211546282,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.949463140523683,0.0,0.0,0,0.05053685947631697,0.0,0.0,0.0,[],2009-03-06 21:00:00+00:00,2009-03,2009-03-06 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,44,[],0.0
2009-03-09 20:00:00+00:00,83.11,0.0,0.0,0.0,-0.02624487404803766,0.4855835578982572,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9714973757646916,0.0,0.0,0,0.028502624235308277,0.0,0.0,0.0,[],2009-03-09 20:00:00+00:00,2009-03,2009-03-09 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,45,[],0.0
2009-03-10 20:00:00+00:00,88.628,0.0,0.0,0.0,0.038406561218511825,0.5047768606173789,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9327836646181291,0.0,0.0,0,0.06721633538187069,0.0,0.0,0.0,[],2009-03-10 20:00:00+00:00,2009-03,2009-03-10 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,46,[],0.0
2009-03-11 20:00:00+00:00,92.68,0.0,0.0,0.0,0.08588166373755102,0.5097397927283815,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9631684136684007,0.0,0.0,0,0.0368315863315993,0.0,0.0,0.0,[],2009-03-11 20:00:00+00:00,2009-03,2009-03-11 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,47,[],0.0
