Date,StdDev
12/20/1993,0.00420455
12/21/1993,0.004092467
12/22/1993,0.004237928
12/23/1993,0.004759398
12/27/1993,0.004588563
12/28/1993,0.004672469
12/29/1993,0.004409602
12/30/1993,0.003423084
12/31/1993,0.003773406
1/3/1994,0.004265372
1/4/1994,0.004003335
1/5/1994,0.004203646
1/6/1994,0.004057384
1/7/1994,0.003442147
1/10/1994,0.003926112
1/11/1994,0.005172184
1/12/1994,0.005261417
1/13/1994,0.00538769
1/14/1994,0.005273821
1/17/1994,0.004874567
1/18/1994,0.004673819
1/19/1994,0.004621676
1/20/1994,0.004820188
1/21/1994,0.004814997
1/24/1994,0.004649375
1/25/1994,0.002694725
1/26/1994,0.002676053
1/27/1994,0.002685731
1/28/1994,0.003812432
1/31/1994,0.003723183
2/1/1994,0.004175668
2/2/1994,0.004714804
2/3/1994,0.004805514
2/4/1994,0.005212551
2/7/1994,0.009235006
2/8/1994,0.009311585
2/9/1994,0.009313622
2/10/1994,0.009362978
2/11/1994,0.009150781
2/14/1994,0.009189119
2/15/1994,0.008752709
2/16/1994,0.008961671
2/17/1994,0.008571035
2/18/1994,0.008633105
2/22/1994,0.004977334
2/23/1994,0.005777498
2/24/1994,0.005851334
2/25/1994,0.006980186
2/28/1994,0.006788765
3/1/1994,0.006667629
3/2/1994,0.006699697
3/3/1994,0.006379938
3/4/1994,0.006377349
3/7/1994,0.006345502
3/8/1994,0.006367245
3/9/1994,0.005431358
3/10/1994,0.005708811
3/11/1994,0.004527904
3/14/1994,0.004609179
3/15/1994,0.004626003
3/16/1994,0.004403157
3/17/1994,0.005000181
3/18/1994,0.004837987
3/21/1994,0.004844612
3/22/1994,0.004740438
3/23/1994,0.004519589
3/24/1994,0.004356115
3/25/1994,0.005303771
3/28/1994,0.005724709
3/29/1994,0.005726102
3/30/1994,0.008129588
3/31/1994,0.007691578
4/4/1994,0.007959512
4/5/1994,0.008350691
4/6/1994,0.012036897
4/7/1994,0.011892554
4/8/1994,0.012222425
4/11/1994,0.011984559
4/12/1994,0.01202675
4/13/1994,0.011965704
4/14/1994,0.010438066
4/15/1994,0.009426253
4/18/1994,0.009385575
4/19/1994,0.008104232
4/20/1994,0.004285206
4/21/1994,0.004270603
4/22/1994,0.006069465
4/25/1994,0.005512466
4/26/1994,0.006291269
4/28/1994,0.006276994
4/29/1994,0.006528694
5/2/1994,0.006563713
5/3/1994,0.006737976
5/4/1994,0.006167963
5/5/1994,0.006297621
5/6/1994,0.006316066
5/9/1994,0.005879941
5/10/1994,0.006457361
5/11/1994,0.005957688
5/12/1994,0.006432625
5/13/1994,0.006519235
5/16/1994,0.006374847
5/17/1994,0.005854959
5/18/1994,0.007877228
5/19/1994,0.008200385
5/20/1994,0.008266066
5/23/1994,0.007580563
5/24/1994,0.006777031
5/25/1994,0.006560034
5/26/1994,0.005238545
5/27/1994,0.005267699
5/31/1994,0.005214288
6/1/1994,0.005338521
6/2/1994,0.00345014
6/3/1994,0.002958615
6/6/1994,0.003109985
6/7/1994,0.002675293
6/8/1994,0.002629736
6/9/1994,0.003833666
6/10/1994,0.004116609
6/13/1994,0.004133567
6/14/1994,0.004138496
6/15/1994,0.004625717
6/16/1994,0.004813501
6/17/1994,0.004787395
6/20/1994,0.004881375
6/21/1994,0.005561428
6/22/1994,0.00607007
6/23/1994,0.005824534
6/24/1994,0.005644296
6/27/1994,0.008133685
6/28/1994,0.01050373
6/29/1994,0.009907092
6/30/1994,0.010123244
7/1/1994,0.010024723
7/5/1994,0.010151794
7/6/1994,0.010232026
7/7/1994,0.009924666
7/8/1994,0.009944756
7/11/1994,0.009778949
7/12/1994,0.00678521
7/13/1994,0.003930811
7/14/1994,0.003563027
7/15/1994,0.004775136
7/18/1994,0.003984493
7/19/1994,0.003985865
7/20/1994,0.003997627
7/21/1994,0.004332549
7/22/1994,0.004208334
7/25/1994,0.004198178
7/26/1994,0.00389539
7/27/1994,0.003974975
7/28/1994,0.003987723
7/29/1994,0.002150053
8/1/1994,0.003774914
8/2/1994,0.003946197
8/3/1994,0.003752458
8/4/1994,0.003114577
8/5/1994,0.004018676
8/8/1994,0.004301375
8/9/1994,0.004323889
8/10/1994,0.00426215
8/11/1994,0.004295094
8/12/1994,0.004620971
8/15/1994,0.004194703
8/16/1994,0.003980185
8/17/1994,0.004508114
8/18/1994,0.004535424
8/19/1994,0.004196563
8/22/1994,0.003950974
8/23/1994,0.004001983
8/24/1994,0.004267557
8/25/1994,0.005159526
8/26/1994,0.005033001
8/29/1994,0.006124261
8/30/1994,0.006143912
8/31/1994,0.005964172
9/1/1994,0.006106736
9/2/1994,0.006099369
9/6/1994,0.006390695
9/7/1994,0.006337027
9/8/1994,0.006256155
9/9/1994,0.005519206
9/12/1994,0.006531107
9/13/1994,0.004193602
9/14/1994,0.004450685
9/15/1994,0.004315862
9/16/1994,0.006180638
9/19/1994,0.006515847
9/20/1994,0.006379098
9/21/1994,0.008769769
9/22/1994,0.00878549
9/23/1994,0.008468371
9/26/1994,0.00799815
9/27/1994,0.008260398
9/28/1994,0.008148003
9/29/1994,0.00862812
9/30/1994,0.007332281
10/3/1994,0.007141136
10/4/1994,0.007074347
10/5/1994,0.006058504
10/6/1994,0.00607033
10/7/1994,0.006083763
10/10/1994,0.006353399
10/11/1994,0.007137706
10/12/1994,0.008632392
10/13/1994,0.008315586
10/14/1994,0.008114767
10/17/1994,0.008104444
10/18/1994,0.008083246
10/19/1994,0.005829338
10/20/1994,0.005753393
10/21/1994,0.0062977
10/24/1994,0.006679122
10/25/1994,0.006788748
10/26/1994,0.004559883
10/27/1994,0.004746056
10/28/1994,0.005065609
10/31/1994,0.008438494
11/1/1994,0.008523952
11/2/1994,0.009347139
11/3/1994,0.009377627
11/4/1994,0.009308821
11/7/1994,0.0101772
11/8/1994,0.009822848
11/9/1994,0.01007457
11/10/1994,0.010041933
11/11/1994,0.010180388
11/14/1994,0.006931647
11/15/1994,0.00788764
11/16/1994,0.007153921
11/17/1994,0.007003931
11/18/1994,0.007082364
11/21/1994,0.005684758
11/22/1994,0.006450503
11/23/1994,0.008444429
11/25/1994,0.008812873
11/28/1994,0.009088993
11/29/1994,0.009320455
11/30/1994,0.00851905
12/1/1994,0.008521127
12/2/1994,0.008572377
12/5/1994,0.009404012
12/6/1994,0.009453866
12/7/1994,0.009011289
12/8/1994,0.005873465
12/9/1994,0.006422374
12/12/1994,0.006331453
12/13/1994,0.006563384
12/14/1994,0.006716904
12/15/1994,0.006913775
12/16/1994,0.005911322
12/19/1994,0.005414662
12/20/1994,0.005414389
12/21/1994,0.005585735
12/22/1994,0.005565123
12/23/1994,0.004154347
12/27/1994,0.00421057
12/28/1994,0.004116539
12/29/1994,0.004802983
12/30/1994,0.004687539
1/3/1995,0.006272127
1/4/1995,0.00626494
1/5/1995,0.006433161
1/6/1995,0.006319903
1/9/1995,0.00530096
1/10/1995,0.005215686
1/11/1995,0.005215661
1/12/1995,0.00489089
1/13/1995,0.00459516
1/16/1995,0.005885624
1/17/1995,0.00375167
1/18/1995,0.003799213
1/19/1995,0.003886735
1/20/1995,0.004579685
1/23/1995,0.004873029
1/24/1995,0.004910763
1/25/1995,0.00490982
1/26/1995,0.00492118
1/27/1995,0.004907992
1/30/1995,0.00351807
1/31/1995,0.003328456
2/1/1995,0.003588603
2/2/1995,0.003571316
2/3/1995,0.00333702
2/6/1995,0.004797698
2/7/1995,0.004809157
2/8/1995,0.004811082
2/9/1995,0.004920995
2/10/1995,0.004975999
2/13/1995,0.004983449
2/14/1995,0.004453085
2/15/1995,0.004474431
2/16/1995,0.004395608
2/17/1995,0.004522178
2/21/1995,0.002621811
2/22/1995,0.002357253
2/23/1995,0.003239061
2/24/1995,0.003221767
2/27/1995,0.003217835
2/28/1995,0.004389383
3/1/1995,0.005036218
3/2/1995,0.005594985
3/3/1995,0.005336107
3/6/1995,0.005312593
3/7/1995,0.005108155
3/8/1995,0.005767733
3/9/1995,0.005258302
3/10/1995,0.005209012
3/13/1995,0.0071344
3/14/1995,0.006519912
3/15/1995,0.006399682
3/16/1995,0.005954608
3/17/1995,0.00611071
3/20/1995,0.006092791
3/21/1995,0.006113755
3/22/1995,0.005370351
3/23/1995,0.005395786
3/24/1995,0.005349738
3/27/1995,0.005196231
3/28/1995,0.005069193
3/29/1995,0.004899046
3/30/1995,0.004774759
3/31/1995,0.004762954
4/3/1995,0.005090277
4/4/1995,0.005090995
4/5/1995,0.005129175
4/6/1995,0.005164812
4/7/1995,0.005154673
4/10/1995,0.003169703
4/11/1995,0.003004375
4/12/1995,0.003275607
4/13/1995,0.003392753
4/17/1995,0.003556561
4/18/1995,0.003892816
4/19/1995,0.004135442
4/20/1995,0.00361694
4/21/1995,0.003649497
4/24/1995,0.003799724
4/25/1995,0.005187727
4/26/1995,0.005357099
4/27/1995,0.005126497
4/28/1995,0.005096285
5/1/1995,0.004889483
5/2/1995,0.004491692
5/3/1995,0.004176732
5/4/1995,0.00550336
5/5/1995,0.005622322
5/8/1995,0.005738747
5/9/1995,0.005084024
5/10/1995,0.004921051
5/11/1995,0.004913337
5/12/1995,0.004914664
5/15/1995,0.004940051
5/16/1995,0.00466438
5/17/1995,0.00472051
5/18/1995,0.003156543
5/19/1995,0.005860193
5/22/1995,0.005858675
5/23/1995,0.006499514
5/24/1995,0.007064994
5/25/1995,0.007088583
5/26/1995,0.007065814
5/30/1995,0.008075595
5/31/1995,0.007879217
6/1/1995,0.010458184
6/2/1995,0.010400481
6/5/1995,0.008821175
6/6/1995,0.008837717
6/7/1995,0.008522648
6/8/1995,0.008411641
6/9/1995,0.008458909
6/12/1995,0.008690384
6/13/1995,0.007863235
6/14/1995,0.008348424
6/15/1995,0.005400587
6/16/1995,0.00540601
6/19/1995,0.005433538
