Price
101.339996
105.970001
112.300003
108.25
107.800003
105.269997
108.419998
109.029999
105.099998
103.970001
114.120003
118.870003
125.379997
128.139999
131.330002
132.529999
130.080002
127.75
129.949997
129.610001
130.240005
132.960007
133.729996
128.399994
120.410004
117.459999
107.849998
102.639999
100.980003
108.639999
104.870003
111.199997
110.169998
93.510002
92.190002
94.93
94.349998
92.269997
86.860001
80.199997
75.959999
69.989998
62.369999
55.669998
65.230003
62.950001
59.82
69.779999
73
75.660004
78.540001
83.099998
87.019997
83.190002
79.010002
74.330002
76.989998
78.800003
77.620003
87.050003
90.260002
90.620003
90.080002
88.040001
90.32
91.290001
89.699997
91.260002
90.349998
91.120003
97.879997
